"iata","name","country_iso","city","elevation_ft","latitude_deg","longitude_deg"
"KUK","Kasigluk, AK","US","Kasigluk",48.0,60.8744,-162.524
"KUL","Kuala Lumpur","MY","Kuala Lumpur",69.0,2.74558,101.71
"KUM","Yakushima","JP","Yakushima",124.0,30.3856,130.659
"KUN","Kaunas","LT","Kaunas",256.0,54.9639,24.0848
"KUO","Kuopio","FI","Kuopio",323.0,63.0071,27.7978
"KUP","Kupiano","PG","Kupiano",90.0,-10.0736,148.218
"KUQ","Kuri","PG","Kuri",35.0,-7.13508,143.276
"KUS","Kulusuk","GL","Kulusuk",117.0,65.5736,-37.1236
"KUT","Kutaisi","GE","Kopitnari",223.0,42.1768,42.4824
"KUU","Bhuntar","IN","Kulu",3573.0,31.8767,77.1544
"KUV","Kunsan","KR","Kunsan",29.0,35.9038,126.616
"KUY","Kamusi","PG","Kamusi",97.0,-7.42035,143.122
"KUZ","AB","GL","Kusan",89.0,65.8639,-36.9979
"KVA","Kavala","GR","Kavala",18.0,40.9133,24.6192
"KVB","Skovde","SE","Skovde",324.0,58.4564,13.9727
"KVC","King Cove, AK","US","King Cove",155.0,55.1163,-162.266
"KVD","Gyandzha","AZ","Ganja",1083.0,40.7377,46.3176
"KVE","Kitava","PG","Kitava Island",194.0,-8.6285,151.327
"KVG","Kavieng","PG","Kavieng",7.0,-2.5794,150.808
"KVK","Kirovsk","RU","Kirovsk",515.0,67.4633,33.5883
"KVL","Kivalina, AK","US","Kivalina",13.0,67.7362,-164.563
"KVX","Kirov","RU","Kirov",479.0,58.5039,49.3478
"KWA","Bucholz AAF, Kirib","MH","Kwajalein Atoll",9.0,8.72012,167.732
"KWB","Karimunjawa, JV","ID","Karimunjawa",35.0,-5.80091,110.478
"KWE","Guiyang","CN","Guiyang (Nanming)",3736.0,26.5415,106.803
"KWG","Lozovatka","UA","Krivoy Rog",408.0,48.0433,33.21
"KWH","Khwahan","AF","Khwahan",3593.0,37.89,70.2038
"KWI","Kuwait","KW","Kuwait",206.0,29.2266,47.9689
"KWJ","KWANGJU","KR","Kwangju",39.0,35.1232,126.805
